lat,lng,seconds
38.281571,-85.864426,9796
38.2836724,-85.8698606,10194
38.2952647,-85.8087205,7590
38.294866,-85.8083695,7550
38.3436285,-85.8191283,7486
38.3437967,-85.8190999,7471
38.3404756,-85.8144372,8137
38.3398879,-85.8140188,8193
38.3404473,-85.8206762,7816
38.3403844,-85.820755,7823
38.2863169,-85.8141662,7260
38.286481,-85.813655,7296
38.3003511,-85.8172235,7385
38.302344,-85.8183,7205
38.2988279,-85.812248,7595
38.2988628,-85.812511,7578
38.3414946,-85.8204884,7709
38.3415667,-85.8204796,7703
38.3037607,-85.8005314,7998
38.3034287,-85.7990478,8099
38.3123531,-85.8063118,7807
38.3127496,-85.8061239,7842
38.3428031,-85.8429218,8705
38.341534,-85.839741,8344
38.286921,-85.809059,7512
38.287062,-85.807931,7526
38.35092,-85.794137,8823
38.351131,-85.793994,8843
38.3068248,-85.8170112,7130
38.308558,-85.816994,7274
38.3638648,-85.7920684,8929
38.3641505,-85.7908603,9013
38.2904762,-85.825325,6438
38.2904814,-85.8252863,6441
38.3499804,-85.7947115,8736
38.3499519,-85.7947182,8734
38.3501538,-85.7952422,8771
38.3500259,-85.7949423,8750
38.29164,-85.80482,7546
38.2916622,-85.8047797,7549
38.2904933,-85.8170228,6910
38.2913843,-85.8174758,6986
38.2847202,-85.8188574,6941
38.2840971,-85.8185219,6997
38.301848,-85.788165,7485
38.301956,-85.788237,7483
38.3537163,-85.7919046,8820
38.3533988,-85.7915927,8787
38.2959951,-85.8386486,7452
38.2964601,-85.8386717,7489
38.3529128,-85.7938776,8882
38.35263,-85.7941797,8912
38.3230597,-85.7927174,8836
38.3236254,-85.7933183,8897
38.2893981,-85.8027356,7712
38.2900271,-85.8033055,7648
38.3406925,-85.8140144,8105
38.3190866,-85.7879295,8374
38.3199353,-85.7881761,8460
38.3269572,-85.8426143,8289
38.329112,-85.8454133,8549
38.3236518,-85.8259544,7482
38.3236388,-85.8244097,7381
38.302108,-85.782483,7642
38.301908,-85.782685,7664
38.3093886,-85.8365467,7294
38.309388,-85.8366078,7298
38.32689,-85.7851101,7552
38.327101,-85.784728,7557
38.284618,-85.84283,7838
38.2846175,-85.8430061,7827
38.2866065,-85.8246947,6392
38.2857608,-85.8242749,6468
38.3386449,-85.7992472,8320
38.3384919,-85.7993604,8335
38.302186,-85.7886807,7521
38.302147,-85.79064,7550
38.310051,-85.8388729,7501
38.3099807,-85.8388721,7507
38.2780247,-85.8487197,8730
38.2785762,-85.8481669,8758
38.311509,-85.805399,7814
38.3118162,-85.8058115,7845
38.282694,-85.845553,8058
38.2838302,-85.8455885,7966
38.301724,-85.78808,7487
38.2774618,-85.8453166,8521
38.277072,-85.8447666,8570
38.3274694,-85.8032859,8049
38.3279035,-85.8037669,8006
38.3651001,-85.8062464,8719
38.3653354,-85.8059109,8696
38.2857181,-85.8198667,6809
38.285894,-85.819349,6846
38.2843494,-85.8245812,6629
38.284279,-85.8245444,6635
38.2867197,-85.8167683,7026
38.2872296,-85.8170309,6981
38.302582,-85.8357694,6986
38.3024564,-85.835817,6997
38.309025,-85.799097,7813
38.3090926,-85.7984609,7854
38.308,-85.842817,7515
38.3081637,-85.8425724,7535
38.376597,-85.799673,10037
38.378539,-85.802297,9799
38.290219,-85.80952,7512
38.2903938,-85.8089471,7539
38.2915038,-85.8120689,7264
38.2915784,-85.8119306,7275
38.2982822,-85.8249509,6803
38.298169,-85.8236637,6839
38.3027165,-85.8126337,7560
38.3014364,-85.8113637,7693
38.3040251,-85.8298333,6720
38.3039069,-85.8306265,6683
38.3033733,-85.7989146,8090
38.3242758,-85.8737694,10436
38.3244501,-85.8743497,10476
38.284497,-85.819845,6868
38.2845162,-85.8197769,6873
38.3456764,-85.8175901,7479
38.346788,-85.817563,7496
38.3237834,-85.8244461,7377
38.3238322,-85.8241784,7359
38.2760363,-85.7885654,5092
38.2762062,-85.7889028,5118
38.3661241,-85.8112854,8699
38.3662079,-85.8111212,8712
38.2969868,-85.8313018,6881
38.2970338,-85.8313515,6886
38.298774,-85.8093526,7669
38.2990743,-85.8089996,7664
38.29763,-85.80316,7604
38.2980899,-85.8035486,7650
38.3483514,-85.7975208,8509
38.348185,-85.7972053,8484
38.299895,-85.807883,7623
38.300485,-85.806985,7640
38.2843566,-85.8240678,6613
38.2845329,-85.8235089,6574
38.3368912,-85.8276513,8209
38.3365883,-85.8276476,8184
38.273775,-85.814957,5328
38.2720123,-85.8181097,5210
38.2851275,-85.8214879,6704
38.2851303,-85.8214794,6704
38.319485,-85.8191977,7133
38.3196472,-85.8192088,7146
38.3102965,-85.7935439,7930
38.3102267,-85.7934723,7937
38.2970833,-85.8269555,6498
38.2972124,-85.8269954,6487
38.322555,-85.8371355,7884
38.3225272,-85.8365442,7845
38.2954372,-85.8127227,7558
38.2952416,-85.8130751,7531
38.322507,-85.782707,7556
38.3222505,-85.7824595,7584
38.3086099,-85.8086006,7742
38.3096234,-85.8076865,7845
38.2986812,-85.8138567,7687
38.2991657,-85.8129763,7618
38.3499874,-85.7960081,8649
38.350011,-85.7960228,8652
38.3393856,-85.8337918,8166
38.3394023,-85.8330925,8121
38.3148348,-85.8521852,8366
38.3151432,-85.8525443,8401
38.309913,-85.803123,7858
38.311112,-85.8182167,7067
38.31008,-85.8182222,7151
38.2963666,-85.8291743,6681
38.2963353,-85.8291453,6677
38.340984,-85.820241,7747
38.340698,-85.819598,7797
38.3657695,-85.8013523,8811
38.365329,-85.8010444,8769
38.3232362,-85.8243887,7370
38.3274231,-85.8191778,7215
38.3274384,-85.8194256,7229
38.2992521,-85.8100168,7663
38.2991115,-85.8099002,7649
38.2790358,-85.854226,9111
38.2792043,-85.854116,9095
38.3929972,-85.7771058,9593
38.3905145,-85.7834354,10086
38.3043293,-85.8128133,7404
38.3045182,-85.8126059,7425
38.2731633,-85.8110574,5290
38.2727473,-85.8110185,5290
38.4015613,-85.7836005,10571
38.4016712,-85.7831624,10601
38.315232,-85.786234,7607
38.316423,-85.787237,7585
38.2991606,-85.828838,6693
38.299428,-85.82906,6719
38.3287833,-85.8067889,8181
38.3287324,-85.8069976,8195
38.3582525,-85.7874877,8837
38.3583554,-85.7872802,8821
38.314389,-85.810845,7843
38.315246,-85.810447,7890
38.2894759,-85.8164975,6927
38.2903626,-85.816959,6902
38.333438,-85.7983897,8123
38.3335653,-85.7983799,8112
38.3435581,-85.8195124,7514
38.2908334,-85.8159536,6985
38.2906837,-85.8164213,6953
38.2900109,-85.813366,7178
38.290465,-85.813769,7132
38.3267423,-85.8365303,7904
38.3274455,-85.836533,7914
38.3148838,-85.851069,8373
38.3147536,-85.8512772,8370
38.332894,-85.7982542,8179
38.3328787,-85.7979467,8191
38.325309,-85.8232175,7286
38.3268699,-85.8231156,7417
38.333495,-85.812232,8206
38.3345582,-85.8127107,8185
38.2862185,-85.8262133,6489
38.286273,-85.8262407,6485
38.3011327,-85.8358709,7045
38.3016241,-85.8363772,7046
38.276389,-85.80112,4798
38.2770951,-85.8012045,4857
38.2951841,-85.8585922,8718
38.294226,-85.859453,8771
38.301011,-85.789379,7592
38.2989195,-85.8088153,7646
38.288723,-85.814894,7095
38.2885574,-85.8148169,7105
38.2924702,-85.8055507,7564
38.2808232,-85.8279488,7099
38.28063,-85.827791,7118
38.2941548,-85.8148964,7374
38.2945588,-85.8152477,7415
38.30159,-85.8328815,6830
38.3014462,-85.8324411,6842
38.2907714,-85.8267267,6437
38.2907695,-85.8274281,6482
38.2932131,-85.8285335,6673
38.293262,-85.828427,6671
38.3793181,-85.7823117,9186
38.3796982,-85.7818032,9195
38.318012,-85.8271014,7577
38.3183775,-85.8271081,7608
38.2839599,-85.8218996,6721
38.2848324,-85.8223379,6643
